"Enabled","Enabled"
"Test Mode","Test Mode"
"Test Order Prefix","Test Order Prefix"
"New Order Status","New Order Status"
"Processing Order Status","Processing Order Status"
"Title","Title"
"Merchant ID","Merchant ID"
"Hash Key","Hash Key"
"Hash IV","Hash IV"
"Paid","Paid。"
"Order No not found","Order No not found"
"Redirect to pay page","Redirect to pay page"
"Transaction amount doesn't match","Transaction amount doesn't match"
"Commodity Group","Commodity Group"
"ATM Payment Information", "Payment Method: %s<br />Trade Time: %s<br />Bank Code: %s<br />Virtual Account: %s<br />Payment Deadline: %s<br />"
"CVS Payment Information", "Payment Method: %s<br />Trade Time: %s<br />Trade Code: %s<br />Payment Deadline: %s<br />BARCODE 1: %s<br />BARCODE 2: %s<br />BARCODE 3: %s<br />"
